area,bedrooms,age,price
1500, 3, 20, 300000
2000, 4, 15, 400000
2500, 4, 10, 500000
1800, 3, 25, 350000
2200, 5, 30, 450000
1700, 3, 20, 330000
1400, 2, 35, 270000
3000, 5, 10, 600000
3500, 6, 5, 750000
1200, 2, 40, 220000
1600, 3, 18, 310000
2100, 4, 12, 420000
2500, 4, 0, 530000
1550, 3, 22, 305000
1900, 3, 17, 370000
2600, 4, 8, 520000
1750, 3, 28, 340000
2300, 4, 32, 460000
1650, 3, 19, 320000
1350, 2, 38, 260000
3100, 5, 7, 620000
3600, 6, 3, 770000
1150, 2, 42, 210000
1580, 3, 16, 315000
2150, 4, 11, 430000
2550, 4, 1, 540000
1450, 3, 24, 290000
2050, 4, 14, 410000
2700, 5, 9, 550000
1850, 3, 26, 360000
2250, 4, 31, 470000
1680, 3, 21, 325000
1380, 2, 36, 265000
3050, 5, 6, 610000
3550, 6, 4, 760000
1180, 2, 41, 215000
1620, 3, 17, 318000
2180, 4, 13, 425000
2520, 4, 2, 535000
1480, 3, 23, 295000
2080, 4, 16, 405000
2750, 5, 11, 560000
1880, 3, 27, 365000
2280, 4, 33, 475000
1720, 3, 20, 335000
1420, 2, 37, 275000
3150, 5, 8, 630000
3700, 6, 2, 790000
1220, 2, 43, 225000
1640, 3, 18, 325000
2220, 4, 12, 440000
2580, 4, 0, 545000
1520, 3, 25, 310000
2120, 4, 15, 415000
2800, 5, 10, 570000
1920, 3, 29, 375000
2320, 4, 34, 485000
1760, 3, 22, 345000
1460, 2, 39, 280000
3200, 5, 6, 640000
3800, 6, 1, 800000
1250, 2, 44, 230000
1670, 3, 19, 330000
2250, 4, 14, 445000
2600, 4, 3, 550000
1550, 3, 26, 315000
2150, 4, 17, 420000
2850, 5, 12, 580000
1950, 3, 30, 380000
2350, 4, 35, 490000
1780, 3, 23, 350000
1480, 2, 40, 285000
3250, 5, 7, 650000
3850, 6, 2, 810000
1280, 2, 45, 235000
1700, 3, 20, 340000
2300, 4, 13, 450000
2650, 4, 2, 560000
1580, 3, 27, 320000
2180, 4, 18, 425000
2900, 5, 13, 590000
1980, 3, 31, 385000
2380, 4, 36, 495000
1800, 3, 24, 355000
1500, 2, 41, 290000
3300, 5, 8, 660000
3900, 6, 3, 820000
1300, 2, 46, 240000
1730, 3, 21, 345000
2330, 4, 15, 455000
2680, 4, 4, 565000
1600, 3, 28, 325000
2220, 4, 19, 430000
2950, 5, 14, 600000
2000, 3, 32, 390000
2400, 4, 37, 500000
1820, 3, 25, 360000
1520, 2, 42, 295000
3350, 5, 9, 670000
3950, 6, 4, 830000
1320, 2, 47, 245000
1750, 3, 22, 350000
2360, 4, 16, 460000
2720, 4, 5, 570000
1620, 3, 29, 330000
2250, 4, 20, 435000
3000, 5, 15, 610000
2030, 3, 33, 395000
2430, 4, 38, 505000
1850, 3, 26, 365000
1550, 2, 43, 300000
3400, 5, 10, 680000
4000, 6, 5, 840000
1350, 2, 48, 250000
1780, 3, 23, 355000
2400, 4, 17, 465000
2750, 4, 6, 575000
1650, 3, 30, 335000
2280, 4, 21, 440000
3050, 5, 16, 620000
2060, 3, 34, 400000
2460, 4, 39, 510000
1880, 3, 27, 370000
1580, 2, 44, 305000
3450, 5, 11, 690000
4050, 6, 6, 850000
1380, 2, 49, 255000
1800, 3, 24, 360000
2430, 4, 18, 470000
2780, 4, 7, 580000
1680, 3, 31, 340000
2320, 4, 22, 445000
3100, 5, 17, 630000
2100, 3, 35, 405000
2500, 4, 40, 515000
1900, 3, 28, 375000
1600, 2, 45, 310000
3500, 5, 12, 700000
4100, 6, 7, 860000
1400, 2, 50, 260000
1820, 3, 25, 365000
2460, 4, 19, 475000
2820, 4, 8, 585000
1700, 3, 32, 345000
2350, 4, 23, 450000
3150, 5, 18, 640000
2130, 3, 36, 410000
2530, 4, 41, 520000
1930, 3, 29, 380000
1630, 2, 46, 315000
3550, 5, 13, 710000
4150, 6, 8, 870000
1430, 2, 51, 265000
1850, 3, 26, 370000
2500, 4, 20, 480000
2850, 4, 9, 590000
1730, 3, 33, 350000
2380, 4, 24, 455000
3200, 5, 19, 650000
2160, 3, 37, 415000
2560, 4, 42, 525000
1960, 3, 30, 385000
1660, 2, 47, 320000
3600, 5, 14, 720000
4200, 6, 9, 880000
1460, 2, 52, 270000
1880, 3, 27, 375000
2530, 4, 21, 485000
2880, 4, 10, 595000
1760, 3, 34, 355000
2420, 4, 25, 460000
3250, 5, 20, 660000
2200, 3, 38, 420000
2600, 4, 43, 530000
2000, 3, 31, 390000
1700, 2, 48, 325000
3650, 5, 15, 730000
4250, 6, 10, 890000
1500, 2, 53, 275000
1920, 3, 28, 380000
2570, 4, 22, 490000
2920, 4, 11, 600000
1800, 3, 35, 360000
2460, 4, 26, 465000
3300, 5, 21, 670000
2240, 3, 39, 425000
2640, 4, 44, 535000
2040, 3, 32, 395000
1740, 2, 49, 330000
3700, 5, 16, 740000
4300, 6, 11, 900000
1540, 2, 54, 280000
1950, 3, 29, 385000
2600, 4, 23, 495000
2960, 4, 12, 605000
1830, 3, 36, 365000
2500, 4, 27, 470000
3350, 5, 22, 680000
2280, 3, 40, 430000
2680, 4, 45, 540000
2080, 3, 33, 400000
1780, 2, 50, 335000
3750, 5, 17, 750000
4350, 6, 12, 910000
1580, 2, 55, 285000
1980, 3, 30, 390000
2640, 4, 24, 500000
3000, 4, 13, 610000
1860, 3, 37, 370000
2540, 4, 28, 475000
3400, 5, 23, 690000
2320, 3, 41, 435000
2720, 4, 46, 545000
2120, 3, 34, 405000
1820, 2, 51, 340000
3800, 5, 18, 760000
4400, 6, 13, 920000
1620, 2, 56, 290000
2020, 3, 31, 395000
2680, 4, 25, 505000
3050, 4, 14, 615000
1900, 3, 38, 375000
2580, 4, 29, 480000
3450, 5, 24, 700000
2360, 3, 42, 440000
2760, 4, 47, 550000
2160, 3, 35, 410000
1860, 2, 52, 345000
3850, 5, 19, 770000
4450, 6, 14, 930000
1660, 2, 57, 295000
2060, 3, 32, 400000
2720, 4, 26, 510000
3100, 4, 15, 620000
1940, 3, 39, 380000
2620, 4, 30, 485000
3500, 5, 25, 710000
2400, 3, 43, 445000
2800, 4, 48, 555000
2200, 3, 36, 415000
1900, 2, 53, 350000
3900, 5, 20, 780000
4500, 6, 15, 940000
1700, 2, 58, 300000
2100, 3, 33, 405000
2760, 4, 27, 515000
3150, 4, 16, 625000
1980, 3, 40, 385000
2660, 4, 31, 490000
3550, 5, 26, 720000
2440, 3, 44, 450000
2840, 4, 49, 560000
2240, 3, 37, 420000
1940, 2, 54, 355000
3950, 5, 21, 790000
4550, 6, 16, 950000
1740, 2, 59, 305000
2140, 3, 34, 410000
2800, 4, 28, 520000
3200, 4, 17, 630000
2020, 3, 41, 390000
2700, 4, 32, 495000
3600, 5, 27, 730000
2480, 3, 45, 455000
2880, 4, 50, 565000
2280, 3, 38, 425000
1980, 2, 55, 360000
4000, 5, 22, 800000
4600, 6, 17, 960000
1780, 2, 60, 310000
2180, 3, 35, 415000
2840, 4, 29, 525000
3250, 4, 18, 635000
2060, 3, 42, 395000
2740, 4, 33, 500000
3650, 5, 28, 740000
2520, 3, 46, 460000
2920, 4, 51, 570000
2320, 3, 39, 430000
2020, 2, 56, 365000
4050, 5, 23, 810000
4650, 6, 18, 970000
1820, 2, 61, 315000
2220, 3, 36, 420000
2880, 4, 30, 530000
3300, 4, 19, 640000
2100, 3, 43, 400000
2780, 4, 34, 505000
3700, 5, 29, 750000
2560, 3, 47, 465000
2960, 4, 52, 575000
2360, 3, 40, 435000
2060, 2, 57, 370000
4100, 5, 24, 820000
4700, 6, 19, 980000
1860, 2, 62, 320000
2260, 3, 37, 425000
2920, 4, 31, 535000
3350, 4, 20, 645000
2140, 3, 44, 405000
2820, 4, 35, 510000
3750, 5, 30, 760000
2600, 3, 48, 470000
3000, 4, 53, 580000
2400, 3, 41, 440000
2100, 2, 58, 375000
4150, 5, 25, 830000
4750, 6, 20, 990000
1900, 2, 63, 325000
2300, 3, 38, 430000
2960, 4, 32, 540000
3400, 4, 21, 650000
2180, 3, 45, 410000
2860, 4, 36, 515000
3800, 5, 31, 770000
2640, 3, 49, 475000
3040, 4, 54, 585000
2440, 3, 42, 445000
2140, 2, 59, 380000
4200, 5, 26, 840000
4800, 6, 21, 1000000
1940, 2, 64, 330000
2340, 3, 39, 435000
3000, 4, 33, 545000
3450, 4, 22, 655000
2220, 3, 46, 415000
2900, 4, 37, 520000
3850, 5, 32, 780000
2680, 3, 50, 480000
3080, 4, 55, 590000
2480, 3, 43, 450000
2180, 2, 60, 385000
4250, 5, 27, 850000
4850, 6, 22, 1010000
1980, 2, 65, 335000
2380, 3, 40, 440000
3040, 4, 34, 550000
3500, 4, 23, 660000
2260, 3, 47, 420000
2940, 4, 38, 525000
3900, 5, 33, 790000
2720, 3, 51, 485000
3120, 4, 56, 595000
2520, 3, 44, 455000
2220, 2, 61, 390000
4300, 5, 28, 860000
4900, 6, 23, 1020000
2020, 2, 66, 340000
2420, 3, 41, 445000
3080, 4, 35, 555000
3550, 4, 24, 665000
2300, 3, 48, 425000
2980, 4, 39, 530000
3950, 5, 34, 800000
2760, 3, 52, 490000
3160, 4, 57, 600000
2560, 3, 45, 460000
2260, 2, 62, 395000
4350, 5, 29, 870000
4950, 6, 24, 1030000
2060, 2, 67, 345000
2460, 3, 42, 450000
3120, 4, 36, 560000
3600, 4, 25, 670000
2340, 3, 49, 430000
3020, 4, 40, 535000
4000, 5, 35, 810000
2800, 3, 53, 495000
3200, 4, 58, 605000
2600, 3, 46, 465000
2300, 2, 63, 400000
4400, 5, 30, 880000
5000, 6, 25, 1040000
2100, 2, 68, 350000
2500, 3, 43, 455000
3160, 4, 37, 565000
3650, 4, 26, 675000
2380, 3, 50, 435000
3060, 4, 41, 540000
4050, 5, 36, 820000
2840, 3, 54, 500000
3240, 4, 59, 610000
2640, 3, 47, 470000
2340, 2, 64, 405000
4450, 5, 31, 890000
